"自动化场景","作用实体","触发","动作","优先级","控制要求"
"专利法律状态增量同步","PatentDocument/LegalStatusEvent","定时/外部事件","新增StatusEvent；更新current_status缓存；触发RiskWatch","高","需要幂等、source_timestamp、原始状态"
"同族成员/分案续案发现","PatentFamily","定时","新增FamilyRelation；命中风险族时触发重评估","高","这是风险反转的重要触发源"
"新公开竞对专利入库","Competitor + Patent","月度/周度","去重→分类→AI摘要→人工复核→关联产品/模块","高","可直接生成月度竞对跟踪视图"
"项目方案版本更新","ProjectSolutionVersion","项目成员提交","计算变更特征；自动匹配既有RiskCase/Patent模块","高","打通研发变化与风险"
"风险重新评估触发","RiskWatch","状态/方案变化","创建AssessmentVersion草稿并分派分析师","高","不得覆盖历史结论"
"申请期限提醒","FilingCase/Docket","定时","多级提醒/升级","高","责任明确、完成需证据"
"月报自动生成","SavedView/ReportSnapshot","每月","汇总风险/挖掘/事务；冻结快照","中","人工审核后发布"
"对外分享脱敏","ReportSnapshot","发布动作","字段级脱敏、水印、导出审计","高","对外不直接查询实时主表"
"AI技术摘要","PatentDocument","导入/字段变化","结构化输出 problem/solution/effect + provenance","中","人工确认后标记human_confirmed"
"MCP查询工具","跨域","按需","只读查询：project_risks / patent_context / search_history / filing_status","中","最小权限、返回引用ID而非整库"
"MCP生成工具","跨域","按需","create_search_case / draft_report / propose_links","中","写操作需审批或草稿态"
