"大类","来源表","序号","原始字段","归一化字段","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","使用层级","用途体系"
"整体管控类","个人事务管控表","1","工时计划与登记","工时计划与登记","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","2","事务起始时间","事务起始时间","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","3","部门","部门","Department","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","4","项目号-项目名称","项目","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","5","流程号","流程号","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","6","耗时","实际耗时","WorkItem / Worklog","度量","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","7","备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","个人","流程性"
"整体管控类","个人事务管控表","8","事务描述","事务描述","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","9","发起人","事务发起人","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人","流程性"
"整体管控类","个人事务管控表","10","事务类型","事务类型","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","可配置枚举","对应领域实体的结构化字段","个人","流程性"
"整体管控类","项目进程表","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","4","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","5","项目负责人","项目负责人","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","6","项目管理","项目管理","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
