"领域实体","边界上下文","包含对象","职责/主要数据","时间属性","优先级","设计指导"
"Organization","组织主数据","Department, Person, Role, Team","部门/人员/角色/组织层级","稳定","P0","替代散落的部门、人名文本；人名字段必须引用Person"
"ProductTaxonomy","产品主数据","ProductLine, ProductCategory, Product, ProductVariant","跨部门产品线交叉、品类树、具体型号","稳定+版本","P0","产品线与品类不要绑定为一棵树，支持多重归属"
"Project","项目域","Project, ProjectMember, ProjectStageEvent","项目号、负责人、PM、阶段、出货地区","事件驱动","P0","项目阶段用事件历史；成员角色用关联表"
"ProjectSolutionVersion","方案版本域","SolutionVersion, TechnicalFeature, InheritanceLink","每个项目每次方案迭代、继承点、变更点","高变化","P0","风险必须绑定具体方案版本，而非只绑项目"
"TechnologyTaxonomy","技术知识域","TechnicalDomain, Module, Submodule, Feature","技术模块树/主题/细分支/特征","持续演化","P0","支持多父节点/同义词/版本，避免单字符串分类"
"PatentFamily","专利公共域","PatentFamily, PriorityClaim, FamilyRelation","同族、优先权链、分案/续案","低频变化","P0","Family是独立实体，不在单元格堆多个专利号"
"PatentDocument","专利公共域","PatentApplication/Publication/Grant","各法域申请、公开号、权利要求、著录项目","外部更新","P0","每个国家成员一条Document；原始数据与标准化数据并存"
"LegalStatusEvent","专利公共域","StatusEvent, DeadlineEvent","法律状态时间线、授权/失效/转让等","事件驱动","P0","current_legal_status仅做缓存"
"Party","专利公共域","Applicant/Assignee/Agency/Inventor","申请人、专利权人、代理机构标准化","低频变化","P1","Party标准化+别名表"
"SearchCase","检索域","SearchCase, SearchScope, SearchCommunication","TC流程、用途、方案、出货地、沟通背景","流程","P0","检索上下文是可复用资产"
"SearchStrategy","检索域","SearchConcept, Query, QueryRun","检索要素、检索式、平台、运行结果","高频过程","P0","检索式运行应有时间戳/平台/命中数"
"SearchResult","检索域","SearchHit, RelevanceReview","命中文献、相关性、历史风险、续案风险","高频过程","P0","一条命中=case×patent关系，不复制Patent字段"
"RiskCase","风险域","RiskCase, RiskSubject, RiskPatentLink","一个可管理风险事项","高变化","P0","风险是独立聚合根，不是Patent属性"
"RiskAssessment","风险域","AssessmentVersion, ClaimChart, Conclusion","逐项权利要求分析、冲突判断、风险等级","版本化","P0","新公开/授权/方案变化应生成新assessment版本"
"Mitigation","风险域","MitigationPlan, Action, Evidence","规避方案、采用状态、样机证据","高变化","P0","规避动作与证据单独实体化"
"RiskDecision","风险域","Decision, DecisionParticipant","风险会/领导/法务正式决策","不可变事件","P0","决策记录不能覆盖，只能追加新决策"
"RiskWatch","风险域","WatchRule, WatchEvent","风险专利法律状态/同族新增/分案续案跟踪","周期更新","P0","外部状态变化触发重新评估"
"ProtectionCase","保护域","InventionTheme, ProtectionScope, FilingStrategy","挖掘主题、保护范围、申请策略","流程+版本","P0","主题与最终申请可一对多"
"FilingCase","保护域","ApplicationDocket, OfficeAction, Maintenance","申请、答复、授权、缴费、维护","事件驱动","P1","复用PatWiki已有Docketing方向"
"WorkItem","协作域","Task, Worklog, SLA","个人事务、待办、工时、及时性","高频","P1","个人表应是Task/Worklog的视图"
"MeetingDecision","协作域","Meeting, Agenda, Decision","会议、参会、结论、决策人","事件","P1","与RiskCase/Project双向关联"
"Artifact","文档证据域","Attachment, Report, EmailLink, PPT, Image","邮件/PPT/Word/表格/专利原文/图片/链接","持续增长","P0","统一附件实体，content hash + 权限 + 版本"
"ReportSnapshot","发布域","Report, Snapshot, SharePackage","月度/季度/年度/对外发布快照","周期性","P1","对外表是快照视图，不应成为另一份主数据"
"AuditEvent","治理域","ChangeEvent, ApprovalEvent, ExportEvent","变更、审批、导出、查看审计","不可变","P0","高责任字段需强审计"
"FieldDefinition","平台元数据","FieldDefinition, Validation, SecurityPolicy","字段类型/来源/更新/权限/AI配置","配置","P0","扩展当前CustomField元数据能力"
"AIProvenance","AI治理域","AIExecution, PromptVersion, Review","模型/提示词/输入哈希/输出/人工确认","事件","P0","与现有AI开发规范一致"
"AutomationIntegration","集成域","AutomationRule, Connector, SyncCursor","外部更新、MCP/tools、定时任务、Webhook","配置+事件","P1","自动化要可审计、幂等、可回放"
