"主体A","主体B","基数","业务语义","建议关系实体/外键","设计说明"
"Department","ProductLine","N:M","部门与产品线可交叉","department_product_line_link","避免强制一条产品线只属于一个部门"
"ProductLine","ProductCategory","N:M","产品线覆盖多个品类；同品类跨产品线","product_line_category_link","解决商用/家用交叉"
"ProductCategory","Product","1:N","品类下具体产品/型号","product.category_id","必要时Product支持多品类N:M"
"Product","Project","1:N","一个产品持续多个新老项目","project.product_id","项目是时态对象"
"Project","ProjectSolutionVersion","1:N","项目方案持续迭代","solution_version.project_id","风险绑定版本"
"ProjectSolutionVersion","TechnicalFeature","N:M","每个版本由多个方案特征组成","solution_feature_link","支持继承来源、变更类型"
"TechnicalModule","TechnicalFeature","1:N/N:M","模块与特征关联","module_feature_link","分类树与实际特征解耦"
"PatentFamily","PatentDocument","1:N","同族成员","patent_document.family_id","专利号不在单元格拼接"
"PatentDocument","Party","N:M","申请人/权利人/发明人/代理","patent_party_link","role + valid_from/to"
"PatentDocument","TechnicalModule","N:M","专利涉及多个技术模块","patent_module_link","支持相关度/来源/人工确认"
"Project","PatentDocument","N:M","申请/风险/参考等多种关系","patent_project_link","现有PatWiki已具雏形"
"SearchCase","ProjectSolutionVersion","N:1/N:M","一次检索可针对一个或多个版本","search_scope_link","保存待检特征和出货地"
"SearchCase","PatentDocument","N:M","检索命中","search_hit","带strategy/query/relevance/history-risk"
"RiskCase","ProjectSolutionVersion","N:M","风险影响哪些方案版本","risk_solution_link","关键关系"
"RiskCase","PatentDocument","N:M","风险专利/同族成员","risk_patent_link","带角色、法域、监控状态"
"RiskCase","RiskAssessment","1:N","结论版本历史","assessment.risk_case_id","任何触发因素产生新版本"
"RiskAssessment","ClaimAnalysis","1:N","逐权利要求/逐要素分析","claim_analysis.assessment_id","保留证据出处"
"RiskCase","MitigationPlan","1:N","规避计划与动作","mitigation.risk_case_id","方案变更后可失效"
"RiskCase","RiskDecision","1:N","会议/领导决策历史","decision.risk_case_id","不可覆盖"
"RiskCase","RiskWatch","1:N","法律状态/分案续案跟踪","risk_watch.risk_case_id","触发重评估"
"ProtectionCase","ProjectSolutionVersion","N:M","从具体方案挖掘保护主题","protection_solution_link","保护主题与研发变化关联"
"ProtectionCase","FilingCase","1:N","同一主题多国申请/多件专利","filing.protection_case_id","布局国家分拆为记录"
"Entity(any)","Artifact","N:M","附件追溯","artifact_link","统一邮件/PPT/Word/图片/外链"
"Entity(any)","AuditEvent","1:N","变更/审批/导出","audit_event.entity_ref","不可变日志"
"ReportSnapshot","Entity(any)","N:M","发布时冻结选中记录版本","snapshot_item","保证事后可重现当时报告"
