"PatWiki IP业务字段盘点、统一数据模型与重构指导工作簿","","","",""
"","","","",""
"目的","把当前约31类表格从“复制字段的Excel集合”重构为“实体+关系+事件+快照+视图”的统一数据资产。","","指标","数量"
"核心结论","表格是视图，不是数据真相。高频共用字段进入主实体；多对多信息进入关系表；会变化的信息进入事件/版本表；月报/季报/对外表进入快照。","","原始业务表/视图","31"
"最高优先级1","新增 ProjectSolutionVersion（项目方案版本），将待检方案、继承点、变更点、模块特征统一版本化。","","字段出现总次数","357"
"最高优先级2","风险从 Patent 本体剥离为 RiskCase → AssessmentVersion → Decision/Mitigation/Watch；Patent.risk_* 仅作为汇总缓存。","","归一化字段概念","140"
"最高优先级3","产品线与产品品类解耦并支持N:M，解决商用/家用交叉；技术模块改为可层级、可多选、可版本化的Taxonomy。","","出现>=4次高频字段","31"
"最高优先级4","统一 Artifact/Attachment，实现从任一专利、风险、项目、申请事项追溯邮件/PPT/Word/图片/表格/外链。","","建议P0核心实体","21"
"最高优先级5","所有责任结论/正式决策/AI生成内容分别建立审计与provenance，不允许“覆盖后失去历史”。","","关键关系","25"
"","","","",""
"","","","",""
"","","","高频归一化字段","出现次数"
"","","","专利权人","13"
"","","","优先权日","10"
"","","","产品品类","8"
"","","","产品编号","8"
"","","","公开号","8"
"","","","备注","8"
"","","","外部专利链接","8"
"","","","独立权利要求","8"
"","","","项目编号","8"
"","","","技术模块","7"
"","","","法律状态","7"
"","","","申请日","7"
