"建议字段","含义","数据类型","要求","价值"
"owner_entity_type","字段属于哪类实体","enum","必填","解决所有CustomField默认挂Patent的问题"
"semantic_type","业务语义类型","enum","必填","identifier/fact/status/judgment/derived/reference/attachment/snapshot"
"source_type","数据来源","enum","必填","manual/external_api/ai/system_formula/collaboration/import"
"source_system","来源系统/数据库","text/link","条件必填","外部专利数据必须记录"
"source_timestamp","采集时间","datetime","条件必填","判断数据新鲜度"
"volatility","变化性","enum","必填","immutable/stable/event_driven/periodic/ephemeral"
"update_policy","更新策略","json/enum","必填","never/on_event/scheduled/manual/recompute"
"freshness_ttl","有效期/过期阈值","duration","可选","AI字段、外部状态、竞对跟踪尤其有用"
"validation_schema","校验规则","json schema","推荐","枚举/格式/唯一/范围/条件必填"
"sensitivity","敏感级","enum","必填","public/internal/confidential/highly_confidential"
"read_roles","可查看角色","json","推荐","字段级权限"
"write_roles","可编辑角色","json","推荐","责任隔离"
"approval_policy","审批策略","json","条件必填","风险结论/决策/申请策略"
"lock_policy","锁定策略","enum/json","推荐","确认后锁定、需审批解锁"
"audit_policy","审计策略","enum/json","必填","none/normal/strict/source_provenance"
"ai_policy","AI策略","json","推荐","allowed/generate/assist/forbidden + reviewer"
"retention_policy","保留策略","enum/json","推荐","永久/项目周期/临时/法定期限"
"index_policy","索引策略","enum","推荐","none/basic/fulltext/vector/materialized"
"promote_threshold","视图本地字段实体化阈值","json","可选","按使用频率/跨表引用/筛选排序频度触发"
