"原表","原用途","用途体系","涉及领域实体","重构后形态","迁移原则"
"个人事务管控表","个人工作量、工时与事务流水","流程性","Department、Generic / Context-specific、Project / ProjectSolutionVersion、WorkItem / Worklog","对应领域工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"项目进程表","项目基础信息与开发进度总览","流程性","Generic / Context-specific、Product / ProductCategory、Project / ProjectSolutionVersion","对应领域工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"风险会风险统计表","风险会议、决策、处置与跟踪","风险","Artifact / Attachment / Report、Generic / Context-specific、Meeting / Decision / Communication、PatentDocument / PatentFamily / Party、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","RiskCase工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"项目风险情况","月度项目风险摘要","风险/分享阐释","PatentDocument / PatentFamily / Party、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"NEW项目风险会召开情况","新项目风险评估会覆盖情况","风险/流程性","Generic / Context-specific、Meeting / Decision / Communication、Product / ProductCategory、Project / ProjectSolutionVersion","RiskCase工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"NEW项目挖掘情况","新项目专利挖掘与申请进度","布局","PatentDocument / PatentFamily / Party、Product / ProductCategory、Project / ProjectSolutionVersion、ProtectionCase / FilingCase","Protection/Filing工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"月度个人事务管理","月度事务及时性统计","流程性","Department、WorkItem / Worklog","对应领域工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"待完成的任务","未完成任务与预计耗时","流程性","Department、WorkItem / Worklog","对应领域工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"品类我司专利申请类","品类维度我司申请布局统计","布局","PatentDocument / PatentFamily / Party、Product / ProductCategory、Project / ProjectSolutionVersion、ProtectionCase / FilingCase、TechnologyTaxonomy / TechnicalKnowledge","Protection/Filing工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"专利申请总表","我司申请案件全局台账","布局/流程性","Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、Project / ProjectSolutionVersion、ProtectionCase / FilingCase","Protection/Filing工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
