"大类","表格/视图","用途","使用层级","用途体系","字段数","重构后建议"
"整体管控类","个人事务管控表","个人工作量、工时与事务流水","个人","流程性","10","领域工作台视图"
"整体管控类","项目进程表","项目基础信息与开发进度总览","部门","流程性","13","领域工作台视图"
"整体管控类","风险会风险统计表","风险会议、决策、处置与跟踪","部门","风险","16","领域工作台视图"
"月度例会数据统计类","项目风险情况","月度项目风险摘要","部门","风险/分享阐释","7","保存视图/快照"
"月度例会数据统计类","NEW项目风险会召开情况","新项目风险评估会覆盖情况","部门","风险/流程性","5","领域工作台视图"
"月度例会数据统计类","NEW项目挖掘情况","新项目专利挖掘与申请进度","部门","布局","6","领域工作台视图"
"月度例会数据统计类","月度个人事务管理","月度事务及时性统计","小组","流程性","7","领域工作台视图"
"月度例会数据统计类","待完成的任务","未完成任务与预计耗时","个人/小组","流程性","6","领域工作台视图"
"年度半年度数据统计类","品类我司专利申请类","品类维度我司申请布局统计","部门","布局","9","领域工作台视图"
"年度半年度数据统计类","专利申请总表","我司申请案件全局台账","部门","布局/流程性","17","领域工作台视图"
"年度半年度数据统计类","平台性风险管理及跟踪总表","跨项目平台性风险池","部门","风险","13","领域工作台视图"
"对外","产品线季度类项目风险分享","面向产品线的季度风险分享","对外","分享阐释","9","保存视图/快照"
"对外","特定主题专利分享-小主题","专题竞对专利技术解读","对外","分享阐释","17","保存视图/快照"
"对外","特定主题专利分享-大主题","大主题-细分支专题技术分享","对外","分享阐释","19","保存视图/快照"
"对外","竞争对手技术路线表","竞对技术路线与专利代表作","部门/对外","分享阐释","5","保存视图/快照"
"单一项目管控类","IP事务管控表之风险管控表","单项目风险排查、分析、规避闭环","跨部门","风险","29","领域工作台视图"
"单一项目管控类","IP事务管控表之申请管控表","单项目申请布局与法律状态","跨部门","布局","5","领域工作台视图"
"单一项目管控类","会议展示用精选管控表","会议精选风险信息","跨部门","分享阐释","9","保存视图/快照"
"数据库类","产品品类数据总库","某品类所有竞对/相关专利长期知识库","部门","数据库","19","领域工作台视图"
"数据库类","单一技术主题模块库","技术专题及细分方向专利知识库","部门","数据库","19","领域工作台视图"
"数据库类","特殊国家地区专利库","特殊法域竞对专利知识库","部门","数据库","19","领域工作台视图"
"数据库类","技术主题专利调查表","技术专题调查工作底表","个人/小组","过程性","10","过程数据结构化后可自动生成"
"数据库类","月度竞对跟踪表","月度新增竞对专利跟踪","小组","数据库/流程性","15","领域工作台视图"
"数据库类","日常相关专利积累","日常发现的相关专利快速沉淀","个人/小组","过程性","6","过程数据结构化后可自动生成"
"中间过程表","数据库专利相关性复核表","基于数据库面向具体方案的相关性复核","检索组","过程性","6","过程数据结构化后可自动生成"
"中间过程表","检索结果表","检索流程的候选专利与用途标注","检索组","过程性","11","过程数据结构化后可自动生成"
"中间过程表","检索策略记录","检索要素、检索式、运行结果与策略沉淀","检索组","过程性","9","过程数据结构化后可自动生成"
"中间过程表","检索沟通记录","与项目研发沟通方案与排查思路","检索组/研发","过程性","13","过程数据结构化后可自动生成"
"中间过程表","分析结论表","待检方案与权利要求逐条比对结论","分析组","风险","7","领域工作台视图"
"中间过程表","风险专利/前案检索特征比对表","风险专利、待检方案与前案三方特征比对","分析组/检索组","风险/过程性","13","过程数据结构化后可自动生成"
"中间过程表","专利性文件清单","专利性评价对比文件证据清单","检索组/保护组","布局/过程性","8","过程数据结构化后可自动生成"
