"类别","当前能力/问题","仓库现状","建议动作","源码/文档参考"
"现状","PatentDatabase + PatentView","已经采用单源大表 + 视图小表，方向正确","继续扩展为“跨实体数据集 + 保存视图”，不要让所有业务都强塞Patent主表","https://github.com/Casafred/patwiki/blob/main/backend/app/models/view.py"
"现状","CustomField","已支持AI/公式/Link/Lookup/Rollup配置","建议补充 owner_entity_type、source_type、volatility、sensitivity、audit_policy、approval_policy、update_policy","https://github.com/Casafred/patwiki/blob/main/backend/app/models/field.py"
"风险","Patent风险字段","Patent目前含 has_risk/risk_level/risk_description","降级为聚合缓存；正式风险进入RiskCase/Assessment","https://github.com/Casafred/patwiki/blob/main/backend/app/models/patent.py"
"基础","PatentProjectLink","已升级为带多维属性的关联模型","把这种“关系实体化”方法推广到产品线-品类、风险-项目版本、专利-技术模块等","https://github.com/Casafred/patwiki/blob/main/backend/app/models/association.py"
"缺口","Project模型","当前Project字段非常薄，仅name/code/product/module/date/status","需加入成员关系、阶段事件、出货地、方案版本，而不是继续在Project加大量字符串字段","https://github.com/Casafred/patwiki/blob/main/backend/app/models/project.py"
"缺口","ProductLine归属","当前ProductLine只有单department_id，Product只有单product_line_id","你的业务明确存在跨部门/交叉产品线，应改为N:M或Category中介层","https://github.com/Casafred/patwiki/blob/main/backend/app/models/organization.py"
"基础","PatentHistory","已记录专利字段旧值/新值/来源视图","应升级为通用AuditEvent，覆盖Risk/Project/Protection/Decision/Attachment/Export","https://github.com/Casafred/patwiki/blob/main/backend/app/models/history.py"
"基础","AutomationRule","已有trigger/condition/action规则与执行日志","适合作为外部专利状态更新、风险重评估、报告刷新、提醒机制基础","https://github.com/Casafred/patwiki/blob/main/backend/app/models/automation.py"
"限制","认证与服务端授权","User、DatabaseMembership 和角色字段仅为协作元数据；现有 API 未做请求认证或后端强制授权","不得将 database_id、角色或成员关系表述为真实安全隔离；L2-L5 写入、外部分享与 MCP 写工具须在认证、授权和审计完成后上线","backend/app/models/user.py；docs/PatWiki_refactor_guidance_pack/21-implementation-contract.md"
"缺口","版本化迁移","当前以 create_all 与容错 ADD COLUMN 演进 SQLite","先交付迁移账本、备份/恢复演练、外键运行时配置和失败停止；复杂表改造不可继续依赖容错加列","backend/app/database.py；docs/PatWiki_refactor_guidance_pack/20-migration-roadmap.md"
"原则","AI可追溯","项目文档已要求模型/提示词版本/输入哈希/人工覆盖","应把这些从AI字段特例提升为AIProvenance实体","https://github.com/Casafred/patwiki/blob/main/docs/05-AI%E5%BC%80%E5%8F%91%E8%A7%84%E8%8C%83.md"
"方向","业务模型","现有文档已认识到项目-专利多对多、Docketing、角色权限","本次重构是在此基础上进一步引入方案版本、风险聚合根、报告快照和数据治理层","https://github.com/Casafred/patwiki/blob/main/docs/04-%E4%B8%93%E5%88%A9%E4%B8%9A%E5%8A%A1%E6%A8%A1%E5%9E%8B%E8%AE%BE%E8%AE%A1.md"
