"归一化字段","出现次数","原始别名","出现表数","典型来源表","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","是否建议实体化","字段层级建议"
"专利权人","13","专利权人、对比文件专利权人、风险专利权人","12","IP事务管控表之风险管控表、专利性文件清单、产品线季度类项目风险分享、会议展示用精选管控表、平台性风险管理及跟踪总表、技术主题专利调查表、日常相关专利积累、月度竞对跟踪表","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"优先权日","10","优先权日、优先权时间","10","专利性文件清单、专利申请总表、产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"产品品类","8","产品分类、产品品类、产品类型","8","IP事务管控表之风险管控表、专利申请总表、品类我司专利申请类、平台性风险管理及跟踪总表、日常相关专利积累、月度竞对跟踪表、检索沟通记录、项目进程表","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","是","核心实体字段"
"产品编号","8","产品号、本次复核的产品号","8","IP事务管控表之风险管控表、NEW项目挖掘情况、NEW项目风险会召开情况、产品线季度类项目风险分享、品类我司专利申请类、数据库专利相关性复核表、检索沟通记录、项目进程表","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"公开号","8","公开号","8","专利申请总表、产品品类数据总库、单一技术主题模块库、技术主题专利调查表、日常相关专利积累、月度竞对跟踪表、检索结果表、特殊国家地区专利库","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"备注","8","其他备注、备注","8","IP事务管控表之风险管控表、个人事务管控表、产品品类数据总库、会议展示用精选管控表、单一技术主题模块库、日常相关专利积累、月度竞对跟踪表、特殊国家地区专利库","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","是","长尾/视图字段"
"外部专利链接","8","专利详情链接（商业数据库源）、外部链接","8","产品品类数据总库、单一技术主题模块库、技术主题专利调查表、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库、竞争对手技术路线表","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","是","核心实体字段"
"独立权利要求","8","独立权利要求、独立权利要求内容","8","产品品类数据总库、分析结论表、单一技术主题模块库、技术主题专利调查表、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"项目编号","8","项目号","8","IP事务管控表之风险管控表、NEW项目挖掘情况、NEW项目风险会召开情况、专利申请总表、产品线季度类项目风险分享、品类我司专利申请类、检索沟通记录、项目进程表","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"技术模块","7","技术模块、技术模块分类、技术模块分类（可能多级）","7","产品品类数据总库、单一技术主题模块库、品类我司专利申请类、平台性风险管理及跟踪总表、技术主题专利调查表、日常相关专利积累、特殊国家地区专利库","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","是","核心实体字段"
