"阶段","主题","建议迭代量","主要工作","验收产物","优先级"
"0A","迁移平台与基线冻结","1-2个迭代","建立迁移账本、SQLite备份/恢复演练、外键运行时配置、字段字典和表用途目录；禁止无规则新增同义字段或复杂容错加列","空库/历史库升级报告；恢复演练记录；字段注册表v1；表->视图映射","P0"
"0B","字段注册与导入保留","1-2个迭代","建立Field Registry、Alias Registry、导入映射审计和未知属性保留；为31类来源表的每列确定candidate、unmapped_retained、mapped、deprecated或quarantined结论，真正异常才隔离","canonical field目录；别名表；来源字段映射；未注册属性视图；隔离问题清单","P0"
"1","主数据与分类树","2-3个迭代","Department/ProductLine/ProductCategory/Product/Project/TechnicalModule实体化，支持交叉归属","组织/产品/项目/技术taxonomy API","P0"
"2","方案版本化","2个迭代","新增ProjectSolutionVersion/TechnicalFeature/InheritanceLink；所有风险检索开始绑定版本","方案差异视图、版本时间线","P0"
"3","风险域重构","3-5个迭代","RiskCase/Assessment/Decision/Mitigation/Watch独立；Patent风险字段降级为rollup缓存","风险工作台、结论版本、触发重评估","P0"
"4","检索域重构","2-4个迭代","SearchCase/Strategy/QueryRun/SearchHit/RelevanceReview结构化","检索策略复用、命中去重、历史风险自动提示","P0"
"5","保护域重构","3-5个迭代","ProtectionCase/FilingCase/Docketing与项目方案打通","挖掘->申请->答复->维护时间线","P1"
"6","统一附件与审计","2-3个迭代","ArtifactLink、审计事件、锁定/审批、敏感权限","一键追溯某专利/项目/风险全部材料","P0"
"7","报表视图化","2个迭代","把月报/季报/年度/对外表改为保存视图+Snapshot，不再维护复制表","报告模板与快照发布","P1"
"8","外部同步自动化","持续","专利法律状态/同族/分案续案增量同步；幂等、cursor、失败重试","Connector框架、同步日志、Watch触发","P1"
"9","AI Tools/MCP","持续","先提供受范围限制的只读工具；写工具仅创建draft。认证、服务端授权、审计和恢复演练完成前不得对外开放责任数据写入","tool registry、AI审计、draft写入契约、授权测试","P1"
